Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,,,,,,,,,Value new (USD),Value used (USD),Launch date,Exit date
"624-1","Basic","Supplementaries",1996,"Basic Motor, 9V",,27,,26,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,81.3600,16.5000,"",""
"626-1","Basic","Supplementaries",1996,"Building Plate, Green",,1,7.49,4.99,7.99,,5702014906260,,25.5,25.5,0.35,0.12,"",0,0,0,,0,0,,,,,,,,,8.0000,8.8000,"",""
"627-1","Basic","Supplementaries",1996,"Building Plate, Blue",,1,,5.5,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,14.2500,10.0000,"",""
"628-1","Basic","Supplementaries",1996,"X-Large Baseplate Grey",,1,10.49,14.99,19.99,,5702010906284,,,,,0.25,"",0,0,0,,0,0,,,,,,,,,15.0000,13.0500,"",""
"629-1","Basic","Supplementaries",1996,"Three Building Plates",,3,,5.5,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,16.1000,,"",""
"630-1","Basic","Supplementaries",1996,"Brick Separator, Green",,1,2.19,2.49,2.99,2.49,673419182195,673419182195,,,,,"",0,0,0,,0,0,,,,,,,,,2.4800,1.8300,"",""
"631-1","Basic","Supplementaries",1996,"Doors and Windows",,52,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,16.3100,3.2100,"",""
"632-1","Basic","Supplementaries",1996,"Wheels and Tyres",,60,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,11.7400,6.9500,"",""
"633-1","Basic","Supplementaries",1996,"Roof Tiles",,50,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,13.9600,9.5800,"",""
"634-1","Basic","Supplementaries",1996,"Extra Bricks in Red",,62,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,16.5000,6.5900,"",""
"635-1","Basic","Supplementaries",1996,"Extra Bricks in White",,62,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,10.7900,,"",""
"636-1","Basic","Supplementaries",1996,"Pull Back Motor, 3+",,8,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,10.1300,,"",""
"637-1","Basic","Supplementaries",1996,"Play Table",,3,,45,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,5.9600,"",""
"638-1","Basic","Supplementaries",1996,"Lots of Extra Basic Bricks, 3+",,404,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"639-1","Basic","Supplementaries",1996,"Lots of Extra Basic Bricks, 5+",,400,,19.75,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,42.4300,,"",""
"1129-3","Gear","Clothing",1996,"LEGO MANIA T-Shirt",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1728-1","Aquazone","Aquanauts",1996,"Crystal Crawler",1,97,,10,,,,042884017286,,,,,"",0,0,0,,0,0,,,,,,,,,220.8800,49.3800,"",""
"1737-1","Space","Exploriens",1996,"Scorpion Detector",2,196,,20,,,,042884017378,,,,,"",0,0,0,,0,0,,,,,,,,,165.0000,35.0000,"",""
"1747-1","Pirates","",1996,"Treasure Surprise",1,22,,2,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,35.2800,11.5300,"",""
"1749-1","Aquazone","Aquanauts",1996,"Paravane",1,16,,2,,,5702010917495,,,,,,"",0,0,0,,0,0,,,,,,,,,20.0900,7.2100,"",""
"1751-1","Duplo","",1996,"Small Bulk Bucket",1,27,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1752-1","Castle","Royal Knights",1996,"Boat with Armor",1,21,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,37.0800,7.6500,"",""
"1753-1","Duplo","",1996,"Medium Bulk Bucket",1,47,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1754-1","Duplo","",1996,"Supplementary Set",,100,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1776-1","Basic","",1996,"Bonus Value Bucket",,950,,20,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,33.0200,"",""
"1777-1","Basic","",1996,"Plane",,10,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,3.2400,0.5400,"",""
"1778-1","Basic","",1996,"Boat",,9,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,2.7900,1.5000,"",""
"1779-1","Basic","",1996,"Helicopter",,10,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,2.9200,1.6500,"",""
"1784-1","Duplo","",1996,"Animals Bulk Box",,21,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1796-1","Freestyle","",1996,"Freestyle Bucket",,641,,20,,,,,23,23,29.4,,"",0,0,0,,0,0,,,,,,,,,,30.0000,"01/06/1996","30/09/2000"
"1797-1","Duplo","",1996,"Bonus Bucket",,90,,20,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1802-1","Pirates","",1996,"Tidy Treasure",1,22,,2,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,36.0000,9.9600,"",""
"1804-1","Castle","Royal Knights",1996,"Crossbow Boat",1,21,,2,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,50.9600,13.4500,"",""
"1806-1","Aquazone","Aquanauts",1996,"Underwater Scooter",1,16,,,,,,042884018061,,,,,"",0,0,0,,0,0,,,,,,,,,32.2000,9.7200,"",""
"1808-1","Town","Special",1996,"Light Aircraft and Ground Support",2,122,,10,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,59.5000,29.1000,"",""
"1809-1","Basic","",1996,"Aeroplane",,29,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,11.8500,4.1400,"",""
"1815-1","Town","Paradisa",1996,"Paradisa Lifeguard",2,36,,,,,,,14.4,9.6,4.8,,"",0,0,0,,0,0,,,,,,,,,107.7000,44.7600,"01/01/1996","31/12/1997"
"1817-1","Town","Special",1996,"Sea Plane with Hut and Boat",3,135,,15,,,5702010918171,,19.2,9.6,6,,"",0,0,0,,0,0,,,,,,,,,95.8000,32.7400,"01/03/1996","31/12/2001"
"1818-1","Town","Special",1996,"Aircraft and Ground Support Equipment and Vehicle.",3,203,,24,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,58.3800,"",""
"1821-1","Town","Racing",1996,"Rally Racers",3,196,,11,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,125.0000,24.4200,"",""
"1823-1","Basic","",1996,"Yacht",,10,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,1.4500,0.4100,"",""
"1843-1","Assorted","Bonus/Value pack",1996,"Space/Castle value pack",2,48,,7.99,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,178.0200,28.8800,"",""
"1843-2","Space","Spyrius",1996,"{Spacecraft}",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1843-3","Castle","Royal Knights",1996,"{Catapult}",,48,,8,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1846-1","Freestyle","",1996,"Freestyle Set",,25,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,2.4200,,"",""
"1847-1","Freestyle","",1996,"Freestyle Set",1,33,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,8.0500,,"",""
"1853-1","Time Cruisers","",1996,"Hypno Cruiser",2,157,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,124.9900,40.0000,"",""
"1854-1","Town","Special",1996,"House with Roof-Windows",2,144,,23,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,245.0100,127.2500,"",""
"1856-1","Duplo","",1996,"Water Park Tub",,71,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1857-1","Basic","",1996,"Super Value Brick Pack",,950,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,71.9600,"",""
"1858-1","Space","Exploriens",1996,"Droid Scout",1,23,,,,,5702010918584,,,,,,"",0,0,0,,0,0,,,,,,,,,42.3900,14.3300,"",""
"1859-1","Basic","",1996,"Aeroplane",,9,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,2.3200,1.5000,"",""
"1861-1","Duplo","",1996,"Box of Bricks",,49,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1866-1","Duplo","",1996,"Stack-n-Learn Sampler",,2,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1868-1","Freestyle","",1996,"Freestyle Box",,220,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1869-1","Basic","",1996,"South African Flag",,80,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,1.4300,"",""
"2004-1","Duplo","Primo",1996,"Jumbo Building Tub",1,51,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2005-1","Primo","",1996,"Duplo Primo",1,17,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2006-1","Duplo","Primo",1996,"Primo Box",,19,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2078-1","Primo","",1996,"Starter Box",,4,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2091-1","Duplo","Primo",1996,"Primo Tumbler",1,20,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,15.0300,"",""
"2092-1","Duplo","Primo",1996,"Primo Cannister",1,10,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,10.0000,"",""
"2100-1","Basic","",1996,"Souvenir Box",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2119-1","Freestyle","",1996,"Small Freestyle Bucket",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2120-1","Freestyle","",1996,"Freestyle Set",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2140-1","Town","Special",1996,"Roadside Recovery Van and Tow Truck",3,255,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,157.0600,45.1300,"",""
"2146-1","Freestyle","",1996,"Sort and Store Suitcase",,803,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2150-1","Trains","9V",1996,"Train Station",8,599,,73,,,5702010921508,,,,,,"",0,0,0,,0,0,,,,,,,,,435.0000,196.9100,"",""
"2220-1","Duplo","",1996,"Build 'n' Play Fire Theme",3,54,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2221-1","Duplo","",1996,"Build 'n' Play Circus Theme",4,81,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2321-1","Duplo","",1996,"Happy Birthday Building Set",1,32,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2339-1","Duplo","",1996,"Basic Box",,49,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2346-1","Duplo","",1996,"Train Oval Suitcase",2,54,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2349-1","Duplo","",1996,"Basic Storage Unit",1,41,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2356-1","Duplo","",1996,"Duplo Jumbo Tub",3,117,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2673-1","Duplo","",1996,"Motorcycle Patrol",1,5,,7,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,26.7100,8.5600,"",""
"2674-1","Duplo","",1996,"Racing Team",2,7,,10,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,10.0000,,"",""
"2683-1","Duplo","",1996,"Police Station",3,34,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,20.1200,"",""
"2685-1","Duplo","",1996,"Water Park",4,47,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2694-1","Duplo","",1996,"Play Farm",3,40,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,29.2800,"",""
"2695-1","Duplo","",1996,"Pony Carriage",1,3,,5,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,18.9500,8.3500,"",""
"2696-1","Duplo","",1996,"Farm Tractor",1,10,,13,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,26.8500,10.6600,"",""
"2697-1","Duplo","",1996,"Farm Animals",1,16,,16,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,25.6800,8.9900,"",""
"2698-1","Duplo","",1996,"Farm",,32,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
