Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,,,,,,,,,Value new (USD),Value used (USD),Launch date,Exit date
"10312-1","Icons","Modular Buildings Collection",2023,"Jazz Club",8,2899,199.99,229.99,299.99,229.99,5702017416625,673419375269,57.8,47.6,12,3.884,"",0,0,0,,0,0,,,,,,,,,202.3300,211.2000,"01/01/2023","31/12/2026"
"10313-1","Icons","Botanical Collection",2023,"Wildflower Bouquet",,939,54.99,59.99,79.99,59.99,5702017416663,673419375276,26,38,5.4,0.64,"",0,0,0,,0,0,,,,,,,,,41.0000,35.7900,"01/02/2023","31/12/2025"
"10314-1","Icons","Botanical Collection",2023,"Dried Flower Centrepiece",,812,44.99,49.99,69.99,49.99,5702017416878,673419375283,38,26,5.3,0.675,"",0,0,0,,0,0,,,,,,,,,37.2900,30.0000,"01/02/2023","31/12/2025"
"10315-1","Icons","Miscellaneous",2023,"Tranquil Garden",,1363,94.99,109.99,139.99,104.99,5702017416885,673419375290,48,28.2,9.1,1.586,"",0,0,0,,0,0,,,,,,,,,80.1900,69.8900,"01/08/2023","31/12/2025"
"10316-1","Icons","Licensed",2023,"The Lord of the Rings: Rivendell",21,6167,429.99,499.99,669.99,499.99,5702017416892,673419375306,75,39,50,,"",0,0,0,,0,0,,,,,,,,,402.0500,347.4100,"05/03/2023","31/12/2025"
"10317-1","Icons","Vehicles",2023,"Land Rover Classic Defender 90",,2336,209.99,239.99,329.99,239.99,5702017416908,673419375313,58.2,37.8,11.8,,"",0,0,0,,0,0,,,,,,,,,186.4800,151.8300,"01/04/2023","31/12/2025"
"10318-1","Icons","Miscellaneous",2023,"Concorde",,2083,169.99,199.99,259.99,199.99,5702017416915,673419375320,58.2,48,9.1,,"",0,0,0,,0,0,,,,,,,,,212.9700,160.0000,"04/09/2023","31/12/2026"
"10320-1","Icons","Pirates System",2023,"Eldorado Fortress",9,2509,189.99,214.99,279.99,214.99,5702017416922,673419375337,58.2,37.8,11.8,3.337,"",0,0,0,,0,0,,,,,,,,,188.1600,199.9500,"04/07/2023","31/12/2024"
"10321-1","Icons","Vehicles",2023,"Corvette",,1210,129.99,149.99,199.99,149.99,5702017416939,673419375344,48,28.2,9.1,,"",0,0,0,,0,0,,,,,,,,,128.8600,101.2000,"01/08/2023","31/12/2024"
"10323-1","Icons","Licensed",2023,"PAC-MAN Arcade",1,2651,229.99,269.99,349.99,269.99,5702017416946,673419375559,58.2,48,12.4,,"",0,0,0,,0,0,,,,,,,,,235.4600,212.9600,"01/06/2023","31/12/2026"
